"filename", "language", "JSON", "Markdown", "CSS", "JavaScript JSX", "HTML", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\footer\footer.module.css", "CSS", 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\createForms\createAccountForm\createAccountForm.jsx", "JavaScript JSX", 0, 0, 0, 90, 0, 0, 0, 0, 10, 100
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\createForms\createAccountTypeForm\createAccountTypeForm.jsx", "JavaScript JSX", 0, 0, 0, 62, 0, 0, 0, 0, 7, 69
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\createForms\createBrandForm\createBrandForm.jsx", "JavaScript JSX", 0, 0, 0, 63, 0, 0, 0, 0, 7, 70
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\createForms\createCategoryForm\createCategoryForm.jsx", "JavaScript JSX", 0, 0, 0, 62, 0, 0, 0, 0, 7, 69
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\createForms\createClientForm\createClientForm.jsx", "JavaScript JSX", 0, 0, 0, 104, 0, 0, 0, 0, 10, 114
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\createForms\createDepositForm\createDepositForm.jsx", "JavaScript JSX", 0, 0, 0, 138, 0, 0, 0, 11, 13, 162
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\createForms\createDispatcherForm\createDispatcherForm.jsx", "JavaScript JSX", 0, 0, 0, 57, 0, 0, 0, 0, 10, 67
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\createForms\createForms.module.css", "CSS", 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\createForms\createMesureForm\createMesureForm.jsx", "JavaScript JSX", 0, 0, 0, 75, 0, 0, 0, 0, 7, 82
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\createForms\createOfferForm\createOfferForm.jsx", "JavaScript JSX", 0, 0, 0, 119, 0, 0, 0, 0, 13, 132
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\createForms\createPersonForm\createPersonForm.jsx", "JavaScript JSX", 0, 0, 0, 110, 0, 0, 0, 0, 8, 118
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\createForms\createProductForm\createProductForm.jsx", "JavaScript JSX", 0, 0, 0, 187, 0, 0, 0, 0, 11, 198
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\createForms\createProductsFromXLSX\createProductsFromXLSX.jsx", "JavaScript JSX", 0, 0, 0, 88, 0, 0, 0, 0, 8, 96
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\createForms\createSupplierForm\createSupplierForm.jsx", "JavaScript JSX", 0, 0, 0, 111, 0, 0, 0, 0, 11, 122
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\createForms\createUbicationForm\createUbicationForm.jsx", "JavaScript JSX", 0, 0, 0, 87, 0, 0, 0, 0, 7, 94
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\createForms\createUserForm\createUserForm.jsx", "JavaScript JSX", 0, 0, 0, 161, 0, 0, 0, 0, 8, 169
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\createForms\createUserRolForm\createUserRolForm.jsx", "JavaScript JSX", 0, 0, 0, 133, 0, 0, 0, 0, 10, 143
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\createForms\newPurchaseForm\newPurchaseForm.jsx", "JavaScript JSX", 0, 0, 0, 265, 0, 0, 0, 0, 26, 291
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\createForms\newSaleForm\newSaleForm.jsx", "JavaScript JSX", 0, 0, 0, 289, 0, 0, 0, 0, 23, 312
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\createForms\newSettingForm\newSettingForm.jsx", "JavaScript JSX", 0, 0, 0, 203, 0, 0, 0, 0, 20, 223
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\createForms\newTransferForm\newTranferForm.jsx", "JavaScript JSX", 0, 0, 0, 216, 0, 0, 0, 0, 21, 237
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\editForms\editAccountTypeForm\editAccountTypeForm.jsx", "JavaScript JSX", 0, 0, 0, 64, 0, 0, 0, 0, 8, 72
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\editForms\editAcountForm\editAccountForm.jsx", "JavaScript JSX", 0, 0, 0, 87, 0, 0, 0, 0, 10, 97
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\editForms\editBrandForm\editBrandForm.jsx", "JavaScript JSX", 0, 0, 0, 64, 0, 0, 0, 0, 9, 73
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\editForms\editCategoryForm\editCategoryForm.jsx", "JavaScript JSX", 0, 0, 0, 67, 0, 0, 0, 0, 8, 75
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\editForms\editClientForm\editClientForm.jsx", "JavaScript JSX", 0, 0, 0, 86, 0, 0, 0, 0, 13, 99
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\editForms\editDepositForm\editDepositForm.jsx", "JavaScript JSX", 0, 0, 0, 135, 0, 0, 0, 0, 11, 146
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\editForms\editDispatcherForm\editDispatcherForm.jsx", "JavaScript JSX", 0, 0, 0, 47, 0, 0, 0, 0, 8, 55
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\editForms\editForms.module.css", "CSS", 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\editForms\editMesureForm\editMesureForm.jsx", "JavaScript JSX", 0, 0, 0, 78, 0, 0, 0, 0, 9, 87
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\editForms\editOfferForm\editOfferForm.jsx", "JavaScript JSX", 0, 0, 0, 82, 0, 0, 0, 0, 8, 90
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\editForms\editPersonForm\editPersonForm.jsx", "JavaScript JSX", 0, 0, 0, 107, 0, 0, 0, 0, 11, 118
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\editForms\editProductForm\editProductForm.jsx", "JavaScript JSX", 0, 0, 0, 148, 0, 0, 0, 0, 12, 160
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\editForms\editSupplierForm\editSupplierForm.jsx", "JavaScript JSX", 0, 0, 0, 132, 0, 0, 0, 0, 14, 146
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\editForms\editUbicationForm\editUbicationForm.jsx", "JavaScript JSX", 0, 0, 0, 89, 0, 0, 0, 0, 9, 98
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\editForms\editUserForm\editUserForm.jsx", "JavaScript JSX", 0, 0, 0, 72, 0, 0, 0, 0, 9, 81
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\forms\editForms\editUserRolForm\editUserRolForm.jsx", "JavaScript JSX", 0, 0, 0, 138, 0, 0, 0, 0, 11, 149
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\mesures\mesures.jsx", "JavaScript JSX", 0, 0, 0, 68, 0, 0, 0, 0, 8, 76
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\mesures\mesures.module.css", "CSS", 0, 0, 43, 0, 0, 0, 0, 0, 7, 50
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\nav\nav.jsx", "JavaScript JSX", 0, 0, 0, 68, 0, 0, 0, 0, 5, 73
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\nav\nav.module.css", "CSS", 0, 0, 21, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\pagination\Paginate.module.css", "CSS", 0, 0, 44, 0, 0, 0, 0, 0, 6, 50
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\pagination\paginationNative.jsx", "JavaScript JSX", 0, 0, 0, 38, 0, 0, 0, 0, 5, 43
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\rolesTable\roles.jsx", "JavaScript JSX", 0, 0, 0, 74, 0, 0, 0, 0, 9, 83
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\rolesTable\roles.module.css", "CSS", 0, 0, 43, 0, 0, 0, 0, 0, 7, 50
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\searchBar\searchBar.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\searchBar\serachBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\ubications\ubications.jsx", "JavaScript JSX", 0, 0, 0, 70, 0, 0, 0, 0, 8, 78
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\ubications\ubications.module.css", "CSS", 0, 0, 43, 0, 0, 0, 0, 0, 7, 50
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\index.css", "CSS", 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\index.js", "JavaScript", 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\redux\actionTypes.js", "JavaScript", 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\redux\actions.js", "JavaScript", 0, 0, 0, 0, 0, 491, 0, 0, 64, 555
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\redux\reducer.js", "JavaScript", 0, 0, 0, 0, 0, 420, 0, 0, 9, 429
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\redux\store.js", "JavaScript", 0, 0, 0, 0, 0, 5, 0, 1, 3, 9
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\reportWebVitals.js", "JavaScript", 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\setupTests.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 4, 1, 6
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\about\about.jsx", "JavaScript JSX", 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\about\about.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\account\account.jsx", "JavaScript JSX", 0, 0, 0, 76, 0, 0, 0, 0, 8, 84
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\account\account.module.css", "CSS", 0, 0, 48, 0, 0, 0, 0, 0, 7, 55
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\allSales\allSales.jsx", "JavaScript JSX", 0, 0, 0, 57, 0, 0, 0, 2, 4, 63
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\allSales\allSales.module.css", "CSS", 0, 0, 48, 0, 0, 0, 0, 0, 7, 55
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\clients\clients.jsx", "JavaScript JSX", 0, 0, 0, 75, 0, 0, 0, 0, 7, 82
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\clients\clients.module.css", "CSS", 0, 0, 47, 0, 0, 0, 0, 0, 7, 54
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\depositDetail\depositDetail.jsx", "JavaScript JSX", 0, 0, 0, 67, 0, 0, 0, 14, 5, 86
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\depositDetail\depositDetail.module.css", "CSS", 0, 0, 48, 0, 0, 0, 0, 0, 7, 55
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\deposits\deposits.jsx", "JavaScript JSX", 0, 0, 0, 95, 0, 0, 0, 0, 9, 104
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\deposits\deposits.module.css", "CSS", 0, 0, 47, 0, 0, 0, 0, 0, 8, 55
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\dispatchers\dispatchers.jsx", "JavaScript JSX", 0, 0, 0, 73, 0, 0, 0, 0, 8, 81
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\dispatchers\dispatchers.module.css", "CSS", 0, 0, 47, 0, 0, 0, 0, 0, 8, 55
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\inicio\inicio.jsx", "JavaScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\inicio\inicio.module.css", "CSS", 0, 0, 47, 0, 0, 0, 0, 0, 7, 54
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\lastSales\lastSales.jsx", "JavaScript JSX", 0, 0, 0, 59, 0, 0, 0, 2, 4, 65
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\lastSales\sales.module.css", "CSS", 0, 0, 47, 0, 0, 0, 0, 0, 7, 54
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\login\login.jsx", "JavaScript JSX", 0, 0, 0, 61, 0, 0, 0, 3, 8, 72
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\login\login.module.css", "CSS", 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
